"","bio_1","bio_2","bio_3","bio_4","bio_7","bio_14","bio_15","bio_18","bio_19","Built2009","crop2005","NavWat2009","Pastur2009","Popden2010","Railways","Roads","HFP2009","pet_he_yr","aet_yr","perren_str","interm_str","dams","canals","perren_wb","interm_wb","dry_salt_f","ocean_sea","prelim_ric","Comp.1","Comp.2","Comp.3","Comp.4","Comp.5","Comp.6","Comp.7"
"1503",214,90,76,904,117,14,72,385,1291,0,0,0,0,6,0,8,14,1444,1164,21471,199399,4050450,1984390,17570.6,595761,2524710,2524710,84,4.22720843894826,-2.35699778524319,-0.292937968975995,-1.04061432385099,0.700947956612582,0.205494965070242,0.604537750625303
"1504",202,91,76,926,119,14,70,383,1187,0,0,0,0,6,0,2.72822,8.72822,1412,1141,19198.1,201436,4047940,1981550,18718.9,594291,2522480,2522480,80,3.87801938853933,-1.66393602139486,0.0614708286859277,-1.82191254246413,0.362810870658697,0.47471600722078,0.252904004359171
"1505",243,87,76,896,113,26,67,439,1391,0,0,0,0,6,0,2.72822,8.72822,1526,1274,17072.8,187581,4063830,1997150,21438.8,605750,2537300,2537300,89,4.77397042381197,-1.10723658309194,-0.423053141837654,-0.94460602105282,0.360832358675025,0.460002797938914,0.433773198184685
"1506",235,105,82,521,128,35,51,506,346,0,0,0,0,3,0,8,11,1657,1287,45709,437961,4460690,2235040,1081.57,912553,2375410,2375410,63,3.77958991908378,0.154895730465777,-0.752092224143412,1.30372208447965,-0.332990378595812,-1.55656607188426,0.0244005641343688
"1507",243,87,76,896,113,26,67,439,1391,0,0,0,0,6,0,2.72822,8.72822,1526,1274,17072.8,187581,4063830,1997150,21438.8,605750,2537300,2537300,89,4.77397042381197,-1.10723658309194,-0.423053141837654,-0.94460602105282,0.360832358675025,0.460002797938914,0.433773198184685
"1509",237,92,82,642,112,39,54,404,326,0,0,0,0,3,0,8,12,1556,1302,53291.8,224115,4359530,2315920,102938,836364,2403360,2403360,66,4.53463838527547,-0.0903785581416562,-0.414318042613597,1.45956624806213,-0.477805706474313,1.11491978364066,0.364619246991051
"1510",219,81,77,781,104,41,56,512,1274,0,0,2.54345e-05,0,6,0,0.757507,6.75753,1391,1263,39808.3,161616,4085080,1961020,19441.4,674613,2575920,2575920,68,4.5510786472162,-0.33049696849619,-0.609125782315316,-2.07965080125374,0.0956341412012794,-0.497777130553107,0.338986559976017
"1511",219,81,77,781,104,41,56,512,1274,0,0,2.54345e-05,0,6,0,0.757507,6.75753,1391,1263,39808.3,161616,4085080,1961020,19441.4,674613,2575920,2575920,68,4.5510786472162,-0.33049696849619,-0.609125782315316,-2.07965080125374,0.0956341412012794,-0.497777130553107,0.338986559976017
"1513",202,91,76,926,119,14,70,383,1187,0,0,0,0,6,0,2.72822,8.72822,1412,1141,19198.1,201436,4047940,1981550,18718.9,594291,2522480,2522480,80,3.87801938853933,-1.66393602139486,0.0614708286859277,-1.82191254246413,0.362810870658697,0.47471600722078,0.252904004359171
"1514",243,87,76,896,113,26,67,439,1391,0,0,0,0,6,0,2.72822,8.72822,1526,1274,17072.8,187581,4063830,1997150,21438.8,605750,2537300,2537300,89,4.77397042381197,-1.10723658309194,-0.423053141837654,-0.94460602105282,0.360832358675025,0.460002797938914,0.433773198184685
